Subj_id,Trial,Env,Order,Probe,pk_vel,movement_duration,travel_duration,max_distance,harvest_duration,patch_residence_duration,force_rate_max,force_per_berry,berries,grip_ramp_up_dur,grip_ramp_up2,harvest_reaction_time,grip_drop_time,grip_release_time,avg_rest_dur,avg_grip_bias,avg_grip_variance,grip_overshoot,time_to_last_berry,grip_drop_last_berry,giving_up_time,gut_norm,norm_dist,norm_pv
1,1,0,1,0,0.438172971168345,890,NaN,0.220996436891315,1980,2355,328.428481704738,1533.80857476129,9,55,110,45,0,55,0,6.77147902481501,3.85705813108858,10.5816491699219,1650,0,330,1.01579804560261,NaN,NaN
1,2,0,1,0,0.564709381453665,1235,770,0.407676764314585,2705,3245,248.328795886716,1719.60531344327,11,105,190,25,0,35,0,6.89973883371951,0.367627818920769,4.24174438476562,2635,0,70,0.138149632199031,NaN,NaN
1,3,0,1,0,0.635790051008299,1075,670,0.389335942493717,2735,3075,219.34182254848,1635.61681923606,11,95,200,40,0,55,0,4.83172447371658,0.202056813309571,3.9280859375,2565,0,170,0.335506249626219,NaN,NaN
1,4,0,1,0,0.645611902495354,1220,655,0.391824905562215,3195,3675,144.30942256297,1748.08720237038,11,195,400,75,0,50,0,2.04524879074097,0.530355336152233,1.098486328125,2585,0,610,1.20387536630584,NaN,NaN
1,5,0,1,0,0.66662411706294,1120,645,0.39833067316377,2765,3145,235.465383415737,1595.78773359819,11,100,230,75,0,50,0,3.68531601007235,0.336017538626395,1.30203063964844,2545,0,220,0.434184558339812,NaN,NaN
1,6,0,1,0,0.713944738379986,1020,620,0.399866127300592,3440,3785,195.733205504085,1886.31167617798,12,105,280,30,0,55,0,4.85303354736682,1.62754710469511,4.08491516113281,3315,0,125,0.190335201438088,NaN,NaN
1,7,0,1,0,0.697776074855389,1090,590,0.422670211398065,3125,3585,185.983466796383,1627.67553029378,12,140,290,65,75,90,0,2.47130477929078,0.981841724070602,-0.296292724609376,2985,75,215,0.327376546473512,NaN,NaN
1,8,0,1,0,0.786182463108349,1235,555,0.416375568283218,3330,4060,156.191603932659,1755.22934432983,12,425,540,75,0,60,0,3.5783390284228,1.85278830525566,4.5420556640625,3305,0,25,0.0380670402876176,NaN,NaN
1,9,0,1,0,0.630890979541287,1190,640,0.395449826604682,3445,4175,133.528279093102,1897.14833831787,12,195,425,30,375,80,0,1.75918962067249,0.76936907795558,-0.553225708007815,3495,375,325,0.494871523739029,NaN,NaN
1,10,0,1,0,0.533193704923396,1545,930,0.382811936787594,2985,3470,165.665764294106,1622.37181196733,11,225,370,20,0,75,0,1.8429597519074,0.382627394932278,-1.5442529296875,2610,0,375,0.740087315351953,NaN,NaN
1,11,0,1,0,0.631248784797089,1315,740,0.386988342171325,3265,3820,105.183302690461,1824.84890014648,12,235,455,100,0,50,0,5.48346605773366,0.33565554769668,4.51869812011719,3240,0,25,0.0380670402876176,NaN,NaN
1,12,0,1,0,0.59517502252046,1310,1275,0.388146896229577,3635,4640,119.763124455232,1895.24588541667,12,190,305,275,335,60,83.75,0.607485062893081,0.171589901094213,-0.0794012451171895,3325,335,645,0.982129639420535,NaN,NaN
1,13,0,1,0,0.615425907434238,1315,710,0.403377592845716,2685,3365,110.225125330859,1688.98554432262,11,370,620,25,0,80,0,6.53316168689373,2.36323281422396,8.7597607421875,2555,0,130,0.256563602655344,NaN,NaN
1,14,0,1,0,0.665466814713507,1190,640,0.402959499462759,2790,3330,125.183923814042,1614.92404701926,11,230,400,105,0,50,0,3.77846961934152,0.549124204704048,0.93498352050781,2600,0,190,0.374977573111656,NaN,NaN
1,15,0,1,0,0.688522547357441,1000,605,0.399730679730601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,16,0,1,0,0.725184044297368,1200,1810,0.408442503467238,3410,4065,154.631949861962,1807.89171056112,12,350,505,90,0,55,0,3.76383678877511,0.684863553650278,4.35185852050781,3295,0,115,0.175108385323041,NaN,NaN
1,17,0,1,0,0.588108282636766,1345,1000,0.395689728048073,3440,3985,266.8769999808,1708.25767481486,12,90,190,250,0,60,0,1.75194789227623,2.74396663389406,6.77436950683594,3240,0,200,0.304536322300941,NaN,NaN
1,18,0,1,0,0.644481263703215,1205,675,0.392613962439529,3400,3865,189.953373045989,1665.19720698039,12,130,210,105,0,70,0,1.34268206132841,0.231319237897692,-0.212872924804689,3335,0,65,0.0989743047478059,NaN,NaN
1,19,0,1,0,0.66131310341174,1150,630,0.401129153211337,3260,3815,149.099492118129,1800.5380485396,11,220,355,80,0,60,0,2.33065625411263,0.160107813241062,0.998382568359371,2610,0,650,1.28281801327672,NaN,NaN
1,20,0,1,0,0.650077283171255,1170,595,0.406027965189007,3295,3895,213.111892492857,1959.61812927246,11,380,485,60,0,45,0,4.66030215454102,0.280631412567193,4.04153686523437,2640,0,655,1.29268584414808,NaN,NaN
1,21,0,1,1,0.650263357886151,1045,595,0.41725561550452,3180,3590,164.540325918347,1761.03861866344,11,120,285,45,0,65,0,2.41040000831688,0.789242281210471,0.424454345703122,2560,0,620,1.22361102804856,1.06835180899469,0.963894486921928
1,22,0,1,1,0.750826678802921,1320,560,0.420886775502306,2790,3620,100.207921012053,1557.76753029563,11,515,720,100,0,75,0,2.65374388774947,0.285102866638726,-0.556562500000002,2610,0,180,0.355241911368937,1.07764912269937,1.11296090661585
