Subj,Trial,Peak_vel_out,Peak_vel_back,mass,Order
1,1,0.266278104098328,0.302295609279186,0,1
1,2,0.213784386183046,0.194603154727603,0,1
1,3,0.26392040463354,0.289355596285441,0,1
1,4,0.191996358793724,0.160718510943708,0,1
1,5,0.231403172325698,0.255092080376474,0,1
1,6,0.152514166807164,0.218710615796719,0,1
1,7,0.24668351782562,0.235691191906587,0,1
1,8,0.190496552939072,0.173233883091971,0,1
1,9,0.250191157958412,0.31985480701276,0,1
1,10,0.172440607182056,0.170876157887047,0,1
1,11,0.199430933983221,0.216348158372287,0,1
1,12,0.205148402483898,0.223093743958959,0,1
1,13,0.287687830060686,0.197017554003842,0,1
1,14,0.176173271605599,0.184838725029477,0,1
1,15,0.182217323876133,0.186648145611573,0,1
1,16,0.247873062352242,0.287301540844434,0,1
1,17,0.151197631932607,0.200840801688039,0,1
1,18,0.143693587123892,0.197689782864663,0,1
1,19,0.304465241165166,0.225655537402402,0,1
1,20,0.364776006837246,0.350139781417506,0,1
1,21,0.28717570268507,0.28119079209087,2,1
1,22,0.219274475356842,0.18449405991576,2,1
1,23,0.271765089471337,0.284790467247287,2,1
1,24,0.175613929890643,0.181164774933635,2,1
1,25,0.175987144714026,0.192693667068912,2,1
1,26,0.260683240489639,0.279617982796011,2,1
1,27,0.261339242030848,0.24274951532872,2,1
1,28,0.166084488213323,0.195059984038616,2,1
1,29,0.168903423992976,0.157184064764848,2,1
1,30,0.188924305942246,0.200349640670077,2,1
1,31,0.289362454400984,0.265752946206745,2,1
1,32,0.280651907397796,0.260172305024753,2,1
1,33,0.305190963469775,0.289692557923527,2,1
1,34,0.214615736911426,0.179256258763813,2,1
1,35,0.341528068855329,0.35237019840643,2,1
1,36,0.193216375316565,0.175046626354795,2,1
1,37,0.327943353125767,0.341799467567221,2,1
1,38,0.198235845489928,0.187799685072142,2,1
1,39,0.19662134010246,0.213399546752505,2,1
1,40,0.318305502084764,0.337893008791453,2,1
1,41,0.309055353504405,0.301430244504629,3.5,1
1,42,0.223710178314387,0.239608905045759,3.5,1
