Subj,Trial,Probe,Env,Env_Probe,Pk_Vel,travel_dur,Harvest_dur,Move_dur,Order,Reward,Reward_rate,grip_force,grip_force2,Probe2
1,1,0,0,0,0.180140154654458,NaN,5540,NaN,0,27,NaN,32.2146718333926,NaN,0
1,2,0,0,0,0.459683129748569,1050,6475,1005,0,28,0.00372093023255814,35.3753909793016,32.2146718333926,0
1,3,0,0,0,0.469317864065192,970,6475,1150,0,27,0.00362659503022163,35.0996802556759,35.3753909793016,0
1,4,0,0,0,0.559268696584811,825,6495,835,0,27,0.00368852459016393,32.0861105187655,35.0996802556759,0
1,5,0,0,0,0.514906343779326,890,6660,1170,0,28,0.00370860927152318,36.0567264290742,32.0861105187655,0
1,6,0,0,0,0.542696194121147,825,10490,955,0,31,0.00273972602739726,32.5348632065191,36.0567264290742,0
1,7,0,0,0,0.490862248108675,955,9410,1185,0,30,0.00289435600578871,36.1695967799758,32.5348632065191,0
1,8,0,0,0,0.498133762227016,810,6090,705,0,27,0.00391304347826087,31.4932674847002,36.1695967799758,0
1,9,0,0,0,0.409499132926318,1035,5850,1515,0,25,0.00363108206245461,35.0416957347503,31.4932674847002,0
1,10,0,0,0,0.539572473252474,820,6080,745,0,27,0.00391304347826087,38.3484085928071,35.0416957347503,0
1,11,0,0,0,0.43975231029224,920,7470,1100,0,29,0.0034564958283671,39.7712238618475,38.3484085928071,0
1,12,0,0,0,0.486084694377709,1010,7775,905,0,29,0.00330108138873079,34.9425500484359,39.7712238618475,0
1,13,0,0,0,0.482050132218688,905,5605,910,0,27,0.00414746543778802,42.9619089941885,34.9425500484359,0
1,14,0,0,0,0.557870847191293,840,6070,665,0,28,0.0040520984081042,37.3025136477624,42.9619089941885,0
1,15,0,0,0,0.402821847625607,1205,6245,655,0,28,0.00375838926174497,33.7575198085938,37.3025136477624,0
1,16,0,0,0,0.411392833516154,995,5985,1150,0,28,0.00401146131805158,33.062675828656,33.7575198085938,0
1,17,0,0,0,0.435168732162239,925,6595,985,0,28,0.00372340425531915,36.8081899159749,33.062675828656,0
1,18,0,0,0,0.640617774052641,680,7485,695,0,28,0.00342927127985303,31.976817264401,36.8081899159749,0
1,19,0,0,0,0.524722384440968,855,7115,1085,0,29,0.00363864491844417,33.5246082670233,31.976817264401,0
1,20,0,0,0,0.602023550946871,760,7635,665,0,29,0.00345443716497915,32.5497855708737,33.5246082670233,0
1,21,1,0,2,0.418559293129637,975,3460,790,0,23,0.00518602029312289,37.3541527642144,32.5497855708737,0
1,22,1,0,2,0.466657004116852,935,7585,740,0,29,0.0034037558685446,35.4247932146598,37.3541527642144,1
1,23,1,0,2,0.432341543520603,935,7800,740,0,29,0.00331997710360618,35.6761203208205,35.4247932146598,1
1,24,1,0,2,0.437687190280665,910,5675,865,0,27,0.0041002277904328,32.7993309563563,35.6761203208205,1
1,25,1,0,2,0.432765109460944,920,5510,935,0,27,0.00419906687402799,37.4968772416448,32.7993309563563,1
1,26,1,0,2,0.404002641513326,995,6900,1015,0,29,0.00367321089297023,30.4431686419506,37.4968772416448,1
1,27,1,0,2,0.415141751935932,1000,9165,1000,0,30,0.0029513034923758,34.716498564509,30.4431686419506,1
1,28,1,0,2,0.410413564272141,980,10690,1275,0,31,0.00265638389031705,32.7864407072078,34.716498564509,1
1,29,1,0,2,0.417801302082049,1015,8350,1350,0,30,0.00320341697810998,32.0963737552652,32.7864407072078,1
1,30,1,0,2,0.490259302807725,915,7815,790,0,28,0.00320733104238259,32.151811028505,32.0963737552652,1
1,31,0,0,0,0.505352542259978,845,7995,2050,0,29,0.00328054298642534,35.4352931379765,32.151811028505,0
1,32,0,0,0,0.531723094376471,1025,10405,1140,0,30,0.0026246719160105,39.7773669064216,35.4352931379765,0
1,33,0,0,0,0.491643140288406,825,8885,885,0,30,0.00308959835221421,47.785676108533,39.7773669064216,0
1,34,0,0,0,0.506392741540436,850,10470,810,0,31,0.00273851590106007,40.995769743635,47.785676108533,0
1,35,0,0,0,0.526493412976375,810,9010,825,0,30,0.00305498981670061,42.5556864291936,40.995769743635,0
1,36,0,0,0,0.61526485769341,680,10955,735,0,31,0.00266437473141384,32.4960785157141,42.5556864291936,0
1,37,0,0,0,0.55553092401673,715,11060,880,0,31,0.00263269639065817,39.4574096125324,32.4960785157141,0
1,38,0,0,0,0.616055832751852,735,8260,775,0,29,0.00322401334074486,34.0298974565066,39.4574096125324,0
1,39,0,0,0,0.559463525796738,795,8665,900,0,30,0.00317124735729387,41.8059323919136,34.0298974565066,0
1,40,0,0,0,0.568426669903063,780,8810,1035,0,30,0.00312825860271116,33.9205833603832,41.8059323919136,0
1,41,0,0,0,0.512364656047636,885,10930,1070,0,31,0.00262378332628015,33.2784337443982,33.9205833603832,0
1,42,0,0,0,0.523642180875348,855,12935,900,0,31,0.00224800580130529,33.8639893755659,33.2784337443982,0
1,43,0,0,0,0.444269751569925,930,11600,935,0,31,0.00247406225059856,39.798608606709,33.8639893755659,0
1,44,0,0,0,0.585050247289471,780,10975,760,0,31,0.00263717566992769,33.4668564968422,39.798608606709,0
1,45,0,0,0,0.51393041034611,845,10135,800,0,30,0.00273224043715847,35.6879771649061,33.4668564968422,0
1,46,0,0,0,0.571227090748981,780,18280,1360,0,33,0.00173137460650577,37.6328004737817,35.6879771649061,0
1,47,0,0,0,0.425896325523285,955,12545,1550,0,33,0.00244444444444444,31.3736111656456,37.6328004737817,0
1,48,0,0,0,0.525186489773539,875,13485,930,0,32,0.00222841225626741,34.6763599503745,31.3736111656456,0
1,49,0,0,0,0.404946422712526,990,10965,1020,0,31,0.00259305729820159,31.5271758885761,34.6763599503745,0
1,50,0,0,0,0.418991487736796,1265,15465,1130,0,32,0.00191273161984459,37.8885167045476,31.5271758885761,0
1,51,0,0,0,0.504069981459442,840,13790,890,0,32,0.00218728639781271,33.9908206062317,37.8885167045476,0
1,52,0,0,0,0.485599826814165,945,15735,1925,0,33,0.00197841726618705,33.7785039919132,33.9908206062317,0
1,53,0,0,0,0.391603734677049,1025,12360,760,0,32,0.00239073589839372,32.1368481662311,33.7785039919132,0
1,54,0,0,0,0.513596804463644,845,10920,1655,0,31,0.00263493412664683,40.2544862596875,32.1368481662311,0
1,55,0,0,0,0.451264282823535,890,18360,1000,0,33,0.00171428571428571,43.9025512005697,40.2544862596875,0
