Subj,Trial,Probe,Env,Env_Probe,Pk_Vel,travel_dur,Harvest_dur,Move_dur,Order,Reward,Reward_rate,grip_force,grip_force2,Probe2,Fml
1,1,0,0,0,0.273072298498046,NaN,10355,NaN,0,15,NaN,29.7737404296875,NaN,0,1
1,2,0,0,0,0.484957723187979,1555,3940,2195,0,13,0.00236578707916288,30.1544856282552,29.7737404296875,0,1
1,3,0,0,0,0.423572608588907,1125,5625,1760,0,13,0.00192592592592593,29.6496518377978,30.1544856282552,0,1
1,4,0,0,0,0.391772802340059,1055,4915,1340,0,13,0.00217755443886097,28.8537726594771,29.6496518377978,0,1
1,5,0,0,0,0.450906310565734,865,3490,1125,0,12,0.00275545350172216,30.2474659338257,28.8537726594771,0,1
1,6,0,0,0,0.560718896192879,825,4300,810,0,12,0.00234146341463415,29.724391454323,30.2474659338257,0,1
1,7,0,0,0,0.394962221726656,1160,4220,1545,0,13,0.00241635687732342,30.3829715056109,29.724391454323,0,1
1,8,0,0,0,0.427807901679397,970,4200,1365,0,12,0.002321083172147,30.2536629686571,30.3829715056109,0,1
1,9,0,0,0,0.430017363487856,1090,3295,1785,0,12,0.00273660205245154,30.3996356913249,30.2536629686571,0,1
1,10,0,0,0,0.420192791022693,1070,2775,1235,0,11,0.00286085825747724,31.0443954895898,30.3996356913249,0,1
1,11,0,0,0,0.362915264358965,1110,3500,1625,0,12,0.00260303687635575,29.9971402887408,31.0443954895898,0,1
1,12,0,0,0,0.437701192150737,985,3335,1165,0,11,0.0025462962962963,29.8316592617378,29.9971402887408,0,1
1,13,0,0,0,0.383348209863565,1075,3305,1000,0,12,0.00273972602739726,30.6932778008683,29.8316592617378,0,1
1,14,0,0,0,0.356795510522883,1205,3505,1470,0,12,0.00254777070063694,31.8267483103174,30.6932778008683,0,1
1,15,0,0,0,0.397312583771026,1105,3410,1080,0,12,0.0026578073089701,30.9349884060012,31.8267483103174,0,1
1,16,0,0,0,0.469995066328189,940,3890,1175,0,12,0.00248447204968944,31.1465121456044,30.9349884060012,0,1
